         334652780 function calls (317930857 primitive calls) in 499.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      170    0.002    0.000   15.940    0.094 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurer/account.py:41(copy)
      170    0.002    0.000   15.939    0.094 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/account.py:27(copy)
      170    0.002    0.000   15.936    0.094 /home/nidhal/workspace/coog/trytond/trytond/modules/account_payment/account.py:107(copy)
      170    0.008    0.000   15.935    0.094 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1452(copy)
   283962    0.359    0.000   15.808    0.000 /home/nidhal/workspace/coog/trytond/trytond/pyson.py:133(_object_hook)
      360    0.013    0.000   15.632    0.043 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1147(write)
   280273    0.598    0.000   15.467    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/_compat.py:72(recv_into)
   206332    0.136    0.000   15.355    0.000 /home/nidhal/workspace/coog/trytond/trytond/pyson.py:171(eval)
      340    0.006    0.000   15.240    0.045 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:810(taxable_lines)
    28127    0.024    0.000   15.212    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1524(get)
    28127    0.086    0.000   15.188    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1500(__getitem__)
  3545829    4.553    0.000   15.137    0.000 /home/nidhal/workspace/coog/trytond/trytond/config.py:79(get)
   280273    1.137    0.000   14.869    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/_compat.py:32(_retryable_call)
    80299    0.508    0.000   14.060    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:86(unpackb)
        3    0.000    0.000   13.753    4.584 <string>:1(create__account_move_reconciliation)
        3    0.001    0.000   13.752    4.584 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/account.py:261(create)
       11    0.000    0.000   13.534    1.230 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/event.py:21(notify_events)
       11    0.001    0.000   13.533    1.230 /home/nidhal/workspace/coog/trytond/trytond/modules/event_log/event_log.py:114(notify_events)
5194525/5190697   10.915    0.000   13.366    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:246(__setattr__)
      170    0.002    0.000   13.205    0.078 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:193(_get_move_line)
      170    0.011    0.000   13.195    0.078 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:284(_get_move_line)
   280273   13.167    0.000   13.167    0.000 {method 'recv_into' of '_socket.socket' objects}
    31478    0.880    0.000   13.118    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:449(browse)
    80518    0.136    0.000   12.596    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1961(hget)
      338    0.006    0.000   12.569    0.037 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:130(get_taxes_included)
1585925/80299    3.335    0.000   12.423    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:497(_fb_unpack)
      170    0.002    0.000   12.397    0.073 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:420(get_cancelled_in_rebill)
  3383006    7.510    0.000   11.733    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/abc.py:128(__instancecheck__)
        1    0.001    0.001   11.701   11.701 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:853(invoice)
        1    0.000    0.000   11.459   11.459 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:869(invoice_periods)
  1563689    3.881    0.000   11.334    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/fields/many2one.py:68(get_target)
    28731    0.329    0.000   11.227    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1721(on_change_with_amount)
   279856    1.362    0.000   10.832    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:582(send_packed_command)
28962/28706    0.825    0.000   10.455    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/sql/__init__.py:549(__str__)
        5    0.001    0.000   10.355    2.071 /home/nidhal/workspace/coog/trytond/trytond/modules/event_log/event_log.py:69(create_event_logs)
      346    0.005    0.000   10.239    0.030 <string>:1(_validate__account_invoice)
2944068/1657847    6.337    0.000   10.229    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache_utils.py:11(freeze)
    39074    0.237    0.000   10.179    0.000 /home/nidhal/workspace/coog/trytond/trytond/ir/rule.py:160(domain_get)
2152766/2151846    6.024    0.000   10.164    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/model.py:345(__init__)
  3545829    7.558    0.000   10.161    0.000 /usr/lib/python2.7/ConfigParser.py:326(get)
        5    0.000    0.000   10.159    2.032 <string>:1(create__event_log)
   560131    1.015    0.000    9.931    0.000 /usr/lib/python2.7/socket.py:223(meth)
   279856    5.296    0.000    9.782    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/connection.py:632(pack_command)
  3763872    3.711    0.000    9.602    0.000 {method 'update' of 'dict' objects}
        5    0.000    0.000    9.352    1.870 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_waiting/invoice.py:24(create_commissions)
        1    0.000    0.000    9.266    9.266 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement_insurance_invoice/endorsement.py:139(reconcile_after_endorsement)
        1    0.000    0.000    9.265    9.265 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:1257(reconcile)
        3    0.001    0.000    9.223    3.074 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:519(create)
  1708366    4.620    0.000    9.171    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:137(set_context)
      509    0.009    0.000    8.953    0.018 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:833(_get_tax_context)
      169    0.003    0.000    8.921    0.053 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1981(_compute_taxes)
   279858    8.626    0.000    8.626    0.000 {method 'sendall' of '_socket.socket' objects}
        5    0.006    0.001    8.351    1.670 <string>:1(_validate__event_log)
239725/158126    0.829    0.000    8.081    0.000 {map}
        5    0.005    0.001    7.764    1.553 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1036(bulk_set_number)
      170    0.023    0.000    7.524    0.044 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1051(_bulk_set_number)
      507    0.004    0.000    7.417    0.015 /home/nidhal/workspace/coog/trytond/trytond/modules/account/tax.py:1086(_round_taxes)
  9447525    7.387    0.000    7.390    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1202(_cache)
      355    0.563    0.002    7.387    0.021 /home/nidhal/workspace/coog/trytond/trytond/model/model.py:153(fields_get)
      452    0.001    0.000    7.253    0.016 /home/nidhal/workspace/coog/trytond/trytond/modules/event_log/event_log.py:65(models_get)
      452    0.003    0.000    7.252    0.016 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/utils.py:88(models_get)
      452    0.003    0.000    7.245    0.016 /home/nidhal/workspace/coog/trytond/trytond/ir/property.py:30(models_get)
  1585925    2.374    0.000    7.064    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:342(_read_header)
     1023    0.008    0.000    6.957    0.007 <string>:1(search__account_period)
     1023    0.027    0.000    6.949    0.007 /home/nidhal/workspace/coog/trytond/trytond/modules/account/period.py:204(search)
        2    0.001    0.000    6.819    3.410 <string>:1(create__commission)
24527/20091    0.191    0.000    6.816    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:1266(search_domain)
        5    0.002    0.000    6.745    1.349 /home/nidhal/workspace/coog/trytond/trytond/modules/commission/invoice.py:38(create_commissions)
    39762    0.054    0.000    6.489    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1973(hincrbyfloat)
        1    0.000    0.000    6.472    6.472 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/commission.py:204(cancel)
        2    0.001    0.000    6.471    3.236 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1623(bulk_reconcile)
      691    0.019    0.000    6.358    0.009 /home/nidhal/workspace/coog/trytond/trytond/model/fields/property.py:37(get)
      691    0.037    0.000    6.324    0.009 /home/nidhal/workspace/coog/trytond/trytond/ir/property.py:45(get)
  6792570    6.292    0.000    6.292    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:69(<genexpr>)
87654/20091    0.521    0.000    6.254    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:1289(convert)
