         338383121 function calls (321309617 primitive calls) in 477.753 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40105    0.054    0.000    5.725    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1969(hincrby)
  3412437    3.177    0.000    5.633    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/abc.py:148(__subclasscheck__)
    40116    0.072    0.000    5.592    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/redis/client.py:1386(rpush)
  1774725    3.617    0.000    5.591    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:24(__exit__)
 1027/518    0.013    0.000    5.566    0.011 /home/nidhal/workspace/coog/trytond/trytond/model/modelsingleton.py:29(read)
89182/20431    0.518    0.000    5.537    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:1289(convert)
      170    0.002    0.000    5.520    0.032 /home/nidhal/workspace/coog/trytond/trytond/modules/company/company.py:162(_get_preferences)
      170    0.014    0.000    5.506    0.032 /home/nidhal/workspace/coog/trytond/trytond/res/user.py:313(_get_preferences)
 10237311    5.492    0.000    5.492    0.000 /home/nidhal/.virtualenvs/coog/lib/python2.7/_weakrefset.py:70(__contains__)
 1018/509    0.007    0.000    5.481    0.011 <string>:1(read__account_configuration)
89160/47312    0.061    0.000    5.343    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:1302(<genexpr>)
        1    0.000    0.000    5.326    5.326 <string>:1(create__account_invoice)
1251/1226    0.029    0.000    5.323    0.004 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:337(search)
      365    0.042    0.000    5.292    0.014 /home/nidhal/workspace/coog/trytond/trytond/model/fields/many2many.py:68(get)
 13212329    5.268    0.000    5.268    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:57(__new__)
      170    0.004    0.000    5.237    0.031 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:2118(get_cancelled_in_rebill)
      867    0.037    0.000    5.207    0.006 <string>:1(search__account_invoice_line)
      683    0.009    0.000    5.102    0.007 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1364(check_modify)
     3465    0.021    0.000    5.067    0.001 /home/nidhal/workspace/coog/trytond/trytond/backend/postgresql/database.py:325(nextid)
   276130    0.616    0.000    4.880    0.000 /home/nidhal/workspace/coog/trytond/trytond/tools/__init__.py:15(cursor_dict)
        2    0.001    0.000    4.762    2.381 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:1623(bulk_reconcile)
29307/29050    1.025    0.000    4.744    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/sql/__init__.py:590(params)
      861    0.105    0.000    4.682    0.005 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:140(get_contract_invoice_field)
  1899659    3.160    0.000    4.657    0.000 /home/nidhal/workspace/coog/trytond/trytond/pool.py:58(__new__)
  343/342    0.002    0.000    4.602    0.013 <string>:1(read__res_user)
  343/342    0.003    0.000    4.599    0.013 /home/nidhal/workspace/coog/trytond/trytond/modules/company/company.py:208(read)
      343    0.003    0.000    4.587    0.013 /home/nidhal/workspace/coog/trytond/trytond/res/user.py:236(read)
  2815795    3.960    0.000    4.457    0.000 /home/nidhal/.virtualenvs/coog/local/lib/python2.7/site-packages/msgpack/fallback.py:304(_fb_read)
    33073    0.068    0.000    4.421    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/currency_cog/currency.py:32(round)
  1340757    2.458    0.000    4.400    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1248(not_cached)
    33073    0.222    0.000    4.353    0.000 /home/nidhal/workspace/coog/trytond/trytond/modules/currency/currency.py:197(round)
        6    0.005    0.001    4.244    0.707 <string>:1(_validate__commission)
      170    0.002    0.000    4.152    0.024 /home/nidhal/workspace/coog/trytond/trytond/modules/account_cog/move.py:103(_cancel_default)
      691    0.017    0.000    4.137    0.006 /home/nidhal/workspace/coog/trytond/trytond/model/fields/property.py:37(get)
